Subject,Trial,Jump,Limb,GCT,PeakHeight_Flight,PeakHeight_Detected,RSI_Flight,RSI_Peak,Asymmetry_Peak%
subject0,1,1,Left,0.5583333000000001,0.3379851562499999,0.40407445954073357,0.605346584647557,0.7237154931305968,
subject0,1,1,Right,0.5666667000000003,0.24831562499999973,0.3945626958792884,0.4382040183409394,0.6962870694171516,
subject0,1,1,Combined,0.5625000000000002,0.2931503906249998,0.399318577710011,0.5217753014942482,0.7100012812738742,3.8631512980136513
subject0,2,1,Left,0.4583333999999999,0.37094062500000036,0.46012211336864184,0.8093248822800181,1.0039026467821066,
subject0,2,1,Right,0.5083332999999999,0.2766726562500001,0.44026572200527003,0.5442741135589586,0.8660965590986665,
subject0,2,1,Combined,0.4833333499999999,0.3238066406250002,0.45019391768695594,0.6767994979194883,0.9349996029403865,14.738625262520713
subject1,1,1,Left,0.3833332999999999,0.417265720375006,0.5262522843860589,1.0885193651973522,1.372832165601212,
subject1,1,1,Right,0.3999999999999999,0.37094062500000036,0.5406234343410179,0.9273515625000011,1.351558585852545,
subject1,1,1,Combined,0.3916666499999999,0.39410317268750317,0.5334378593635384,1.0079354638486766,1.3621953757268783,1.5617128150442587
subject1,2,1,Left,0.30000000000000004,0.49186244822500125,0.5430613124518648,1.6395414940833373,1.810204374839549,
subject1,2,1,Right,0.33333329999999983,0.39376254632500185,0.5591565901868714,1.1812877571037819,1.6774699383076088,
subject1,2,1,Combined,0.31666664999999994,0.44281249727500155,0.5511089513193681,1.4104146255935595,1.743837156573579,7.6116302506563605
subject1,3,1,Left,0.2666666999999999,0.5449998910000055,0.48961566836551024,2.043749335781354,1.836058526863348,
subject1,3,1,Right,0.2833333,0.4918626035500054,0.49984785961571915,1.7359858638218852,1.764169123840082,
subject1,3,1,Combined,0.27499999999999997,0.5184312472750054,0.4947317639906147,1.8898675998016197,1.800113825351715,3.9936031827998355
subject2,1,1,Left,0.8250000000000002,0.15745387695625132,0.26009658869902114,0.1908531841893955,0.3152685923624498,
subject2,1,1,Right,0.75,0.16486252997500106,0.2583362925262643,0.21981670663333475,0.34444839003501904,
subject2,1,1,Combined,0.7875000000000001,0.1611582034656262,0.2592164406126427,0.20533494541136513,0.32985849119873445,8.846156291604714
subject2,2,1,Left,0.7083333,0.1881101882687514,0.23486876153408517,0.26556733711199426,0.33157944365185876,
subject2,2,1,Right,0.7166667000000002,0.1431476003875054,0.24103546548987637,0.1997408284597364,0.33632854085431385,
subject2,2,1,Combined,0.7125000000000001,0.16562889432812838,0.23795211351198076,0.23265408278586533,0.3339539922530863,1.4220812784462822
